candidate_id,rank,score,reasoning
CAND_0058688,52,0.741832,"AI Engineer at Vedantu — 6.7 yrs exp, deep in Machine Learning (90mo), Milvus (86mo); Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for; available in 15d; concern: needs relocation from Berlin."
CAND_0027801,53,0.741683,"NLP Engineer at InMobi — 7.4 yrs exp, deep in FAISS (80mo), Milvus (71mo); Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for; active GitHub (63.3); concern: long notice (120d)."
CAND_0036121,54,0.740746,"ML Engineer at Wysa — 5.2 yrs exp, deep in Machine Learning (39mo), Embeddings (33mo); Contributed to ML feature engineering and model deployment for a fraud-detection product; active GitHub (82.9); concern: needs relocation from Chennai, Tamil Nadu."
CAND_0099806,55,0.73797,"AI Engineer at Mad Street Den — 4.6 yrs exp, deep in Embeddings (89mo), Qdrant (63mo); Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and; available in 30d; concern: under JD floor (4.6 yrs)."
CAND_0024620,56,0.737885,"AI Engineer at PharmEasy — 5.9 yrs exp, deep in QLoRA (70mo), Python (53mo); Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring; concern: needs relocation from New York."
CAND_0048166,57,0.73756,"ML Engineer at Aganitha — 5.2 yrs exp, deep in Pinecone (48mo), Recommendation Systems (38mo); Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at; available in 30d; concern: needs relocation from Berlin."
CAND_0054123,58,0.736017,"Applied ML Engineer at Meta — 4.7 yrs exp, deep in pgvector (75mo), Qdrant (75mo); Built a content recommendation system serving 10M+ users that combined collaborative filtering with; highly responsive (87%); concern: under JD floor (4.7 yrs)."
CAND_0086151,59,0.73598,"Recommendation Systems Engineer at Wysa — 7.7 yrs exp, deep in Qdrant (73mo), Elasticsearch (73mo); Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring; concern: long notice (120d)."
CAND_0062247,60,0.734737,"AI Engineer at Google — 7.3 yrs exp, deep in Qdrant (90mo), Hugging Face Transformers (88mo); Developed a semantic search feature for an internal knowledge base of ~500K documents; available in 30d; concern: needs relocation from Kochi, Kerala."
CAND_0076251,61,0.731552,"Search Engineer at Haptik — 7.6 yrs exp, deep in Hugging Face Transformers (42mo), Semantic Search (33mo); Developed a semantic search feature for an internal knowledge base of ~500K documents; concern: needs relocation from Bhubaneswar, Odisha."
CAND_0028527,62,0.729499,"AI Specialist at Tech Mahindra — 5.4 yrs exp, deep in PyTorch (52mo), Vector Search (51mo); Contributed to ML feature engineering and model deployment for a fraud-detection product; highly responsive (90%); concern: needs relocation from Austin."
CAND_0045141,63,0.729246,"Data Scientist at HCL — 5.3 yrs exp, deep in Milvus (54mo), Pinecone (42mo); Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at; available in 30d; concern: needs relocation from Kochi, Kerala."
CAND_0094728,64,0.729221,"AI Specialist at Swiggy — 6.5 yrs exp, deep in pgvector (30mo), Qdrant (27mo); Built NLP pipelines for sentiment analysis and document classification — primarily for an internal; available in 30d; concern: needs relocation from Chennai, Tamil Nadu."
CAND_0059795,65,0.729146,"Senior Software Engineer (ML) at Locobuzz — 5.6 yrs exp, deep in Machine Learning (49mo), Hugging Face Transformers (42mo); Contributed to ML feature engineering and model deployment for a fraud-detection product; highly responsive (75%)."
CAND_0015578,66,0.729013,"AI Engineer at Zoho — 5.4 yrs exp, deep in Embeddings (94mo), FAISS (92mo); Implemented a RAG-based customer support chatbot integrated with our existing ticketing system."
CAND_0026532,67,0.728196,"Recommendation Systems Engineer at Zomato — 4.8 yrs exp, deep in Semantic Search (69mo), pgvector (60mo); Developed a semantic search feature for an internal knowledge base of ~500K documents; concern: under JD floor (4.8 yrs)."
CAND_0070398,68,0.727927,"Machine Learning Engineer at Genpact AI — 7.2 yrs exp, deep in Embeddings (92mo), FAISS (90mo); Developed a semantic search feature for an internal knowledge base of ~500K documents; active GitHub (63.1); concern: long notice (120d)."
CAND_0050454,69,0.727841,"AI Engineer at Rephrase.ai — 6.8 yrs exp, deep in QLoRA (87mo), Fine-tuning LLMs (74mo); Developed a semantic search feature for an internal knowledge base of ~500K documents; available in 30d."
CAND_0078492,70,0.726762,"Recommendation Systems Engineer at Verloop.io — 5.1 yrs exp, deep in Hugging Face Transformers (92mo), FAISS (66mo); Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring; available in 30d; concern: needs relocation from Kochi, Kerala."
CAND_0098454,71,0.724653,"AI Specialist at Meesho — 6.6 yrs exp, deep in Weaviate (39mo), NLP (30mo); Contributed to ML feature engineering and model deployment for a fraud-detection product; highly responsive (87%); concern: needs relocation from Indore, Madhya Pradesh."
CAND_0040178,72,0.724413,"ML Engineer at Meesho — 5.0 yrs exp, deep in OpenSearch (56mo), Vector Search (36mo); Contributed to ML feature engineering and model deployment for a fraud-detection product."
CAND_0019288,73,0.724204,"AI Research Engineer at Paytm — 5.7 yrs exp, deep in pgvector (40mo), OpenSearch (40mo); Worked on customer-facing predictive modeling for an e-commerce platform — churn prediction,; available in 30d."
CAND_0038368,74,0.723595,"ML Engineer at PhonePe — 5.4 yrs exp, deep in Embeddings (52mo), QLoRA (49mo); Worked on customer-facing predictive modeling for an e-commerce platform — churn prediction,; available in 30d."
CAND_0064904,75,0.723018,"AI Engineer at LinkedIn — 4.9 yrs exp, deep in TensorFlow (91mo), Embeddings (74mo); Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for; highly responsive (78%); concern: under JD floor (4.9 yrs)."
CAND_0071939,76,0.722682,"Data Scientist at Krutrim — 6.4 yrs exp, deep in NLP (53mo), OpenSearch (43mo); Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned; available in 30d."
CAND_0048558,77,0.722522,"Data Scientist at Rephrase.ai — 6.7 yrs exp, deep in Qdrant (42mo), OpenSearch (41mo); Contributed to ML feature engineering and model deployment for a fraud-detection product; available in 30d."
CAND_0018701,78,0.722024,"Junior ML Engineer at Krutrim — 6.0 yrs exp, deep in Information Retrieval (44mo), Fine-tuning LLMs (26mo); Contributed to ML feature engineering and model deployment for a fraud-detection product; highly responsive (71%)."
CAND_0036437,79,0.721749,"Search Engineer at Rephrase.ai — 4.8 yrs exp, deep in Sentence Transformers (93mo), Elasticsearch (92mo); Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring; available in 30d; concern: under JD floor (4.8 yrs)."
CAND_0057736,80,0.721152,"Computer Vision Engineer at Mad Street Den — 6.2 yrs exp, deep in Information Retrieval (43mo), NLP (41mo); Built NLP pipelines for sentiment analysis and document classification — primarily for an internal; highly responsive (92%); concern: needs relocation from Coimbatore, Tamil Nadu."
CAND_0069638,81,0.721076,"Computer Vision Engineer at Swiggy — 6.2 yrs exp, deep in Pinecone (60mo), Semantic Search (43mo); Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at; available in 30d; concern: needs relocation from Chennai, Tamil Nadu."
CAND_0008295,82,0.720724,"AI Research Engineer at Razorpay — 6.5 yrs exp, deep in Python (53mo), Weaviate (35mo); Built NLP pipelines for sentiment analysis and document classification — primarily for an internal; highly responsive (89%)."
CAND_0081480,83,0.720158,"Computer Vision Engineer at Sarvam AI — 5.6 yrs exp, deep in FAISS (29mo), Vector Search (26mo); Contributed to ML feature engineering and model deployment for a fraud-detection product; highly responsive (85%)."
CAND_0049771,84,0.720021,"AI Research Engineer at Wysa — 5.0 yrs exp, deep in Pinecone (36mo), Python (31mo); Built NLP pipelines for sentiment analysis and document classification — primarily for an internal; highly responsive (81%); concern: needs relocation from Ahmedabad, Gujarat."
CAND_0064888,85,0.719948,"ML Engineer at Verloop.io — 5.8 yrs exp, deep in TensorFlow (49mo), pgvector (49mo); Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned; available in 30d; concern: needs relocation from Vizag, Andhra Pradesh."
CAND_0083852,86,0.719677,"Data Scientist at Mad Street Den — 6.0 yrs exp, deep in Pinecone (59mo), PyTorch (35mo); Worked on time-series forecasting models for supply-chain demand prediction at a logistics company; highly responsive (85%); concern: needs relocation from Ahmedabad, Gujarat."
CAND_0025923,87,0.719656,"Senior Software Engineer (ML) at HCL — 5.0 yrs exp, deep in Pinecone (30mo), pgvector (29mo); Built NLP pipelines for sentiment analysis and document classification — primarily for an internal; available in 30d; concern: needs relocation from Kolkata, West Bengal."
CAND_0044262,88,0.718805,"Data Scientist at upGrad — 6.9 yrs exp, deep in OpenSearch (55mo), Python (32mo); Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at; highly responsive (73%); concern: needs relocation from Trivandrum, Kerala."
CAND_0007052,89,0.718636,"ML Engineer at Unacademy — 6.5 yrs exp, deep in Vector Search (58mo), Elasticsearch (52mo); Contributed to ML feature engineering and model deployment for a fraud-detection product; highly responsive (85%)."
CAND_0067866,90,0.718335,"Senior Software Engineer (ML) at Tech Mahindra — 6.4 yrs exp, deep in pgvector (55mo), LoRA (55mo); Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at; highly responsive (79%)."
CAND_0064270,91,0.717348,"Applied ML Engineer at Verloop.io — 4.2 yrs exp, deep in Hugging Face Transformers (96mo), Machine Learning (73mo); Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and; highly responsive (82%); concern: under JD floor (4.2 yrs)."
CAND_0044890,92,0.71694,"AI Research Engineer at Haptik — 5.0 yrs exp, deep in LoRA (29mo), FAISS (19mo); Contributed to ML feature engineering and model deployment for a fraud-detection product; highly responsive (79%); concern: needs relocation from Bhubaneswar, Odisha."
CAND_0095619,93,0.716728,"NLP Engineer at Nykaa — 15.6 yrs exp, deep in Pinecone (74mo), Weaviate (60mo); Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring; available in 30d; concern: over-experienced (15.6 yrs)."
CAND_0005193,94,0.716573,"Senior Software Engineer at Acme Corp — 6.2 yrs exp, deep in OpenSearch (59mo), Machine Learning (44mo); Designed and maintained the analytical data warehouse on Snowflake supporting the BI team's ~50; highly responsive (82%)."
CAND_0087364,95,0.716119,"Recommendation Systems Engineer at Glance — 4.9 yrs exp, deep in Elasticsearch (50mo), Milvus (46mo); Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for; available in 30d; concern: under JD floor (4.9 yrs)."
CAND_0082086,96,0.715211,"Senior Software Engineer (ML) at Razorpay — 6.0 yrs exp, deep in PyTorch (53mo), FAISS (50mo); Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned; highly responsive (85%)."
CAND_0014234,97,0.715208,"Junior ML Engineer at Tech Mahindra — 5.4 yrs exp, deep in pgvector (54mo), Hugging Face Transformers (49mo); Contributed to ML feature engineering and model deployment for a fraud-detection product; available in 30d; concern: needs relocation from Indore, Madhya Pradesh."
CAND_0026424,98,0.713767,"Senior Software Engineer (ML) at Razorpay — 5.6 yrs exp, deep in LoRA (35mo), Pinecone (33mo); Worked on customer-facing predictive modeling for an e-commerce platform — churn prediction,; concern: needs relocation from San Francisco."
CAND_0030348,99,0.713722,"Machine Learning Engineer at BYJU'S — 4.5 yrs exp, deep in pgvector (94mo), Python (94mo); Developed a semantic search feature for an internal knowledge base of ~500K documents; concern: under JD floor (4.5 yrs)."
CAND_0093331,100,0.713714,"NLP Engineer at Genpact AI — 16.1 yrs exp, deep in PyTorch (58mo), Embeddings (58mo); Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for; available in 30d; concern: over-experienced (16.1 yrs)."
